,att1,def1,mid1,ovr1,rank1,att2,def2,mid2,ovr2,rank2,score,winner,att,def,mid,ovr,rank
75,91,86,85,86,5,66,63,59,63,76,2.0,1,25,23,26,23,-71
76,92,84,88,87,3,82,78,79,79,22,2.0,1,10,6,9,8,-19
77,80,81,74,78,19,74,71,69,72,27,-1.0,-1,6,10,5,6,-8
78,92,84,88,87,3,70,62,66,65,87,2.0,1,22,22,22,22,-84
79,86,85,86,87,10,80,81,74,78,19,1.0,1,6,4,12,9,-9
80,91,86,85,86,5,79,69,68,71,29,1.0,1,12,17,17,15,-24
81,92,86,89,89,1,80,81,74,78,19,1.0,1,12,5,15,11,-18
82,85,82,81,83,6,74,71,69,72,27,1.0,1,11,11,12,11,-21
83,85,76,74,77,16,79,69,68,71,29,1.0,1,6,7,6,6,-13
84,92,86,89,89,1,83,72,73,76,37,2.0,1,9,14,16,13,-36
85,67,65,69,67,68,74,71,69,72,27,-1.0,-1,-7,-6,0,-5,41
86,86,83,86,84,9,72,69,68,71,19,1.0,1,14,14,18,13,-10
87,85,79,75,80,8,88,88,84,87,2,-2.0,-1,-3,-9,-9,-7,6
88,87,85,81,83,4,72,69,68,71,19,1.0,1,15,16,13,12,-15
89,88,88,84,87,2,83,72,73,76,37,1.0,1,5,16,11,11,-35
90,86,85,86,87,10,92,84,88,87,3,-2.0,-1,-6,1,-2,0,7
91,92,86,89,89,1,92,84,88,87,3,-1.0,-1,0,2,1,2,-2
92,85,82,81,83,6,88,88,84,87,2,-2.0,-1,-3,-6,-3,-4,4
93,86,83,86,84,9,92,84,88,87,3,-1.0,-1,-6,-1,-2,-3,6
94,85,82,81,83,6,86,83,86,84,9,2.0,1,-1,-1,-5,-1,-3
95,70,73,67,71,74,66,63,59,63,76,-1.0,-1,4,10,8,8,-2
96,91,86,85,86,5,65,77,81,77,14,4.0,1,26,9,4,9,-9
97,77,75,69,74,56,65,70,67,69,45,-1.0,-1,12,5,2,5,11
98,85,82,81,83,6,85,76,74,77,16,3.0,1,0,6,7,6,-10
99,88,88,84,87,2,80,81,74,78,19,-2.0,-1,8,7,10,9,-17
100,82,78,79,79,22,86,83,86,84,9,2.0,1,-4,-5,-7,-5,13
101,85,79,75,80,8,78,64,77,71,77,1.0,1,7,15,-2,9,-69
102,66,63,59,63,76,83,77,78,78,51,-3.0,-1,-17,-14,-19,-15,25
103,74,71,69,72,27,77,75,69,74,56,-2.0,-1,-3,-4,0,-2,-29
104,87,85,81,83,4,92,86,89,89,1,-3.0,-1,-5,-1,-8,-6,3
105,78,64,77,71,77,92,86,89,89,1,-2.0,-1,-14,-22,-12,-18,76
106,80,68,78,73,38,72,70,66,70,78,3.0,1,8,-2,12,3,-40
107,92,84,88,87,3,88,88,84,87,2,2.0,1,4,-4,4,0,1
108,79,78,75,77,15,67,65,69,67,68,2.0,1,12,13,6,10,-53
109,65,77,81,77,14,83,77,78,78,51,1.0,1,-18,0,3,-1,-37
110,66,63,59,63,76,75,70,76,73,21,-1.0,-1,-9,-7,-17,-10,55
111,72,76,73,74,25,92,84,88,87,3,1.0,1,-20,-8,-15,-13,22
112,85,76,74,77,16,86,85,86,87,10,2.0,1,-1,-9,-12,-10,6
113,70,73,67,71,74,79,78,75,77,15,1.0,1,-9,-5,-8,-6,59
114,80,81,74,78,19,91,86,85,86,5,2.0,1,-11,-5,-11,-8,14
115,86,85,86,87,10,87,85,81,83,4,1.0,1,-1,0,5,4,6
116,76,71,75,73,47,74,71,69,72,27,-1.0,-1,2,0,6,1,20
117,92,84,88,87,3,65,77,81,77,14,1.0,1,27,7,7,10,-11
118,86,85,86,87,10,69,73,66,70,23,-1.0,-1,17,12,20,17,-13
119,79,78,75,77,15,92,86,89,89,1,-1.0,-1,-13,-8,-14,-12,14
120,71,69,66,70,59,79,72,77,76,24,1.0,1,-8,-3,-11,-6,35
121,80,73,77,76,52,81,70,76,78,29,-2.0,-1,-1,3,1,-2,23
122,75,81,72,77,10,77,74,76,75,21,1.0,1,-2,7,-4,2,-11
123,89,85,85,85,11,86,82,83,85,6,-1.0,-1,3,3,2,0,5
124,90,85,83,85,4,87,79,80,83,1,-1.0,-1,3,6,3,2,3
125,86,82,86,84,5,78,76,73,76,41,2.0,1,8,6,13,8,-36
126,70,65,66,68,91,80,73,77,76,52,-2.0,-1,-10,-8,-11,-8,39
127,78,78,76,77,14,79,72,77,79,28,-3.0,-1,-1,6,-1,-2,-14
128,80,75,76,76,32,78,68,74,72,58,1.0,1,2,7,2,4,-26
129,79,81,79,81,8,74,78,76,75,54,4.0,1,5,3,3,6,-46
130,86,82,83,85,6,81,70,76,78,29,1.0,1,5,12,7,7,-23
131,78,79,73,78,15,80,70,73,75,26,1.0,1,-2,9,0,3,-11
132,90,85,83,85,4,70,71,69,73,88,1.0,1,20,14,14,12,-84
133,86,82,86,84,5,81,70,76,78,29,-1.0,-1,5,12,10,6,-24
134,87,86,82,85,3,73,74,77,74,13,2.0,1,14,12,5,11,-10
135,78,79,73,78,15,71,69,66,70,59,2.0,1,7,10,7,8,-44
136,63,68,67,69,36,79,72,77,76,24,1.0,1,-16,-4,-10,-7,12
137,70,71,69,73,88,73,74,77,74,13,-1.0,-1,-3,-3,-8,-1,75
138,80,73,77,76,52,79,75,73,77,17,-1.0,-1,1,-2,4,-1,35
139,74,78,76,75,54,79,81,79,81,8,-1.0,-1,-5,-3,-3,-6,46
140,81,70,76,78,29,79,72,77,76,24,-3.0,-1,2,-2,-1,2,5
141,75,76,70,74,44,77,67,74,77,27,-2.0,-1,-2,9,-4,-3,17
142,90,85,83,85,4,82,71,70,75,22,2.0,1,8,14,13,10,-18
143,77,69,69,72,76,72,77,69,73,12,-1.0,-1,5,-8,0,-1,64
144,78,79,73,78,15,80,70,73,75,26,-1.0,-1,-2,9,0,3,-11
145,75,76,70,74,44,74,78,76,75,54,2.0,1,1,-2,-6,-1,-10
146,77,74,76,75,21,70,65,68,68,48,4.0,1,7,9,8,7,-27
147,87,80,84,85,2,78,79,73,78,15,-2.0,-1,9,1,11,7,-13
148,78,79,73,78,15,71,69,66,70,59,1.0,1,7,10,7,8,-44
